transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs
1945,2022-04-19,09:55:00,33,Male,30,Beauty,1,25,10.75
11,2022-02-27,10:30:00,151,Male,23,Clothing,2,50,23.5
821,2022-11-23,11:27:00,40,Male,49,Electronics,1,300,129
1011,2022-04-01,06:48:00,15,Male,23,Clothing,2,50,19
1821,2022-10-03,07:17:00,42,Male,49,Electronics,1,300,108
133,2022-06-23,09:01:00,70,Male,20,Electronics,3,300,87
1133,2022-03-05,06:42:00,58,Male,20,Electronics,3,300,159
16,2022-06-25,10:33:00,82,Male,19,Clothing,3,500,180
42,2022-12-08,08:29:00,63,Male,22,Clothing,3,300,147
292,2022-10-10,06:33:00,111,Male,20,Beauty,4,300,141
416,2022-08-21,09:29:00,55,Male,53,Electronics,4,500,245
584,2022-12-31,10:21:00,106,Female,27,Beauty,4,50,16.5
861,2022-09-30,08:57:00,22,Female,41,Clothing,3,30,9.6
1016,2022-12-12,07:39:00,52,Male,19,Clothing,3,500,200
1042,2022-02-11,06:21:00,7,Male,22,Clothing,3,300,150
1292,2022-05-15,08:20:00,88,Male,20,Beauty,4,300,90
1416,2022-12-29,10:47:00,111,Male,53,Electronics,4,500,125
1584,2022-09-03,11:07:00,62,Female,27,Beauty,4,50,16.5
1861,2022-07-04,10:41:00,145,Female,41,Clothing,3,30,10.2
256,2022-01-09,08:05:00,3,Male,23,Clothing,2,500,270
1256,2022-11-05,09:58:00,29,Male,23,Clothing,2,500,190
44,2022-03-03,11:07:00,93,Female,22,Clothing,1,25,11.75
257,2022-12-10,08:49:00,130,Male,19,Beauty,4,500,165
1044,2022-02-20,09:08:00,70,Female,22,Clothing,1,25,7.5
1257,2022-05-10,11:55:00,29,Male,19,Beauty,4,500,255
268,2022-04-14,08:26:00,93,Female,28,Electronics,1,30,8.7
287,2022-08-26,11:07:00,88,Male,54,Clothing,4,25,10
966,2022-11-07,07:22:00,119,Male,60,Electronics,2,500,190
1268,2022-06-09,09:33:00,15,Female,28,Electronics,1,30,14.1
1287,2022-09-13,08:03:00,120,Male,54,Clothing,4,25,7
1966,2022-07-20,09:52:00,74,Male,60,Electronics,2,500,200
70,2022-12-27,10:48:00,147,Female,43,Clothing,1,300,84
371,2022-12-18,10:01:00,32,Female,20,Beauty,1,25,13
900,2022-11-10,08:41:00,130,Male,21,Clothing,2,30,15.6
1070,2022-07-14,11:12:00,102,Female,43,Clothing,1,300,120
1371,2022-05-06,06:52:00,41,Female,20,Beauty,1,25,13.5
1900,2022-01-21,06:43:00,65,Male,21,Clothing,2,30,10.8
8,2022-12-27,11:19:00,148,Male,30,Electronics,4,25,11
41,2022-10-11,10:36:00,88,Male,34,Clothing,2,25,13.25
454,2022-03-12,07:20:00,13,Female,46,Beauty,1,25,13
780,2022-07-06,11:30:00,107,Male,52,Electronics,2,25,13.25
920,2022-08-20,10:25:00,99,Female,28,Beauty,3,25,6.75
1008,2022-01-10,08:51:00,116,Male,30,Electronics,4,25,13
1041,2022-05-10,07:27:00,74,Male,34,Clothing,2,25,11
1454,2022-06-25,11:18:00,22,Female,46,Beauty,1,25,6.75
1780,2022-12-11,10:00:00,32,Male,52,Electronics,2,25,10.5
1920,2022-10-24,08:33:00,23,Female,28,Beauty,3,25,9.25
396,2022-12-15,07:11:00,29,Female,55,Beauty,1,30,10.8
1396,2022-06-07,06:23:00,9,Female,55,Beauty,1,30,8.4
168,2022-04-29,09:20:00,138,Male,53,Clothing,1,300,102
400,2022-03-08,09:52:00,2,Male,53,Clothing,4,50,24
611,2022-07-21,08:13:00,11,Male,51,Beauty,3,500,180
800,2022-09-19,07:33:00,111,Male,32,Clothing,4,300,87
1168,2022-07-10,07:56:00,68,Male,53,Clothing,1,300,150
1400,2022-09-12,11:54:00,115,Male,53,Clothing,4,50,20
1611,2022-11-17,07:30:00,125,Male,51,Beauty,3,500,180
1800,2022-08-21,10:53:00,1,Male,32,Clothing,4,300,111
272,2022-06-10,11:57:00,112,Female,61,Electronics,2,50,27.5
473,2022-09-25,10:09:00,1,Male,64,Beauty,1,50,14.5
506,2022-04-29,07:13:00,9,Male,34,Beauty,3,500,200
766,2022-01-04,08:02:00,128,Male,38,Electronics,3,300,165
1272,2022-04-14,11:59:00,66,Female,61,Electronics,2,50,17
1473,2022-03-19,09:06:00,30,Male,64,Beauty,1,50,13
1506,2022-01-09,07:31:00,52,Male,34,Beauty,3,500,245
1766,2022-11-22,06:08:00,6,Male,38,Electronics,3,300,129
135,2022-04-18,07:22:00,104,Male,20,Clothing,2,25,13
1135,2022-01-14,08:16:00,124,Male,20,Clothing,2,25,12.5
2,2022-06-24,10:07:00,104,Female,26,Clothing,2,500,135
158,2022-01-21,11:38:00,141,Female,44,Electronics,2,300,132
185,2022-06-27,09:48:00,57,Male,24,Clothing,1,25,7
433,2022-07-29,08:48:00,144,Male,29,Beauty,4,50,20
1002,2022-03-02,09:24:00,69,Female,26,Clothing,2,500,270
1158,2022-02-24,09:29:00,77,Female,44,Electronics,2,300,138
1185,2022-10-04,10:28:00,153,Male,24,Clothing,1,25,10.25
1433,2022-01-16,11:41:00,113,Male,29,Beauty,4,50,15.5
152,2022-06-16,11:58:00,120,Male,43,Electronics,4,500,210
753,2022-07-06,10:07:00,70,Female,32,Clothing,1,30,15.9
763,2022-04-23,09:43:00,58,Male,34,Clothing,2,25,11.5
932,2022-10-08,08:33:00,120,Female,45,Beauty,4,25,7.75
1152,2022-12-26,07:48:00,87,Male,43,Electronics,4,500,170
1753,2022-07-17,07:40:00,28,Female,32,Clothing,1,30,10.5
1763,2022-06-30,11:37:00,93,Male,34,Clothing,2,25,13.5
1932,2022-11-08,07:07:00,96,Female,45,Beauty,4,25,6.25
399,2022-12-07,09:25:00,136,Female,64,Beauty,2,30,12.9
500,2022-10-14,06:11:00,120,Female,60,Beauty,4,25,11.5
514,2022-11-04,08:35:00,139,Female,18,Electronics,1,300,96
1399,2022-01-28,09:32:00,15,Female,64,Beauty,2,30,16.2
1500,2022-04-20,08:36:00,53,Female,60,Beauty,4,25,8.5
1514,2022-07-12,10:55:00,59,Female,18,Electronics,1,300,75
947,2022-07-31,07:09:00,4,Male,50,Beauty,1,300,129
1947,2022-03-05,06:27:00,134,Male,50,Beauty,1,300,75
220,2022-05-07,06:44:00,138,Male,64,Beauty,1,500,140
339,2022-08-18,10:27:00,33,Female,22,Electronics,2,25,10.25
785,2022-10-19,06:09:00,88,Female,31,Beauty,4,50,13
885,2022-09-17,10:10:00,121,Female,52,Clothing,4,30,14.4
888,2022-12-01,06:03:00,63,Female,52,Electronics,4,25,12.75
1220,2022-06-29,11:16:00,47,Male,64,Beauty,1,500,240
1339,2022-11-10,10:34:00,132,Female,22,Electronics,2,25,7.5
1785,2022-02-20,11:17:00,144,Female,31,Beauty,4,50,17
1885,2022-11-09,07:32:00,148,Female,52,Clothing,4,30,10.8
1888,2022-06-14,08:10:00,49,Female,52,Electronics,4,25,12.5
621,2022-04-13,09:55:00,138,Female,40,Beauty,2,500,275
1621,2022-09-22,10:49:00,2,Female,40,Beauty,2,500,160
52,2022-09-19,09:42:00,55,Female,36,Beauty,1,300,111
536,2022-08-20,06:25:00,17,Female,55,Beauty,4,30,8.7
1052,2022-02-12,06:12:00,94,Female,36,Beauty,1,300,120
1536,2022-05-11,07:23:00,14,Female,55,Beauty,4,30,13.5
197,2022-04-03,11:57:00,14,Female,42,Clothing,4,50,25.5
750,2022-11-13,07:33:00,69,Female,35,Clothing,3,25,8.75
910,2022-08-21,06:29:00,138,Female,20,Beauty,3,50,22.5
917,2022-02-15,11:50:00,120,Female,57,Electronics,4,50,16.5
1197,2022-08-13,10:07:00,77,Female,42,Clothing,4,50,19
1750,2022-01-20,10:10:00,138,Female,35,Clothing,3,25,7.25
1910,2022-10-09,06:22:00,141,Female,20,Beauty,3,50,18
1917,2022-05-02,07:17:00,52,Female,57,Electronics,4,50,24
198,2022-05-21,11:42:00,30,Female,54,Beauty,3,300,114
444,2022-10-06,07:06:00,51,Female,61,Clothing,3,30,15.9
547,2022-11-14,07:36:00,3,Male,63,Clothing,4,500,250
705,2022-09-30,07:28:00,37,Male,60,Electronics,2,25,6.25
1198,2022-08-07,10:43:00,147,Female,54,Beauty,3,300,159
1444,2022-04-29,06:18:00,135,Female,61,Clothing,3,30,14.1
1547,2022-08-11,06:39:00,142,Male,63,Clothing,4,500,235
1705,2022-08-14,08:32:00,94,Male,60,Electronics,2,25,8.75
423,2022-07-18,06:06:00,41,Female,27,Clothing,1,25,11.75
1423,2022-06-15,07:56:00,131,Female,27,Clothing,1,25,11
248,2022-07-02,07:11:00,5,Male,26,Clothing,3,300,126
360,2022-09-09,09:04:00,26,Male,42,Clothing,4,25,10.5
377,2022-09-13,08:30:00,141,Female,46,Clothing,4,50,18
1248,2022-09-08,08:20:00,68,Male,26,Clothing,3,300,111
1360,2022-06-18,09:31:00,93,Male,42,Clothing,4,25,6.25
1377,2022-03-21,07:52:00,71,Female,46,Clothing,4,50,14
397,2023-10-26,08:06:00,59,Female,30,Beauty,1,25,10.5
623,2023-11-15,10:00:00,39,Male,34,Clothing,3,50,26
1397,2023-01-01,11:05:00,6,Female,30,Beauty,1,25,11.75
1623,2023-03-05,06:14:00,76,Male,34,Clothing,3,50,22
717,2023-11-30,08:15:00,8,Male,57,Clothing,1,500,190
1717,2023-01-12,09:40:00,21,Male,57,Clothing,1,500,175
130,2023-06-19,06:21:00,114,Female,57,Clothing,1,500,125
658,2023-10-30,07:47:00,93,Male,59,Clothing,1,25,6.5
1130,2023-02-20,09:03:00,28,Female,57,Clothing,1,500,180
1658,2023-04-10,06:08:00,148,Male,59,Clothing,1,25,12.25
7,2023-07-06,06:24:00,38,Male,46,Clothing,2,25,13.25
119,2023-09-01,09:11:00,127,Female,60,Clothing,3,50,27.5
278,2023-12-22,11:42:00,71,Female,37,Clothing,4,25,13.5
1007,2023-06-09,10:09:00,15,Male,46,Clothing,2,25,11.5
1119,2023-11-19,09:36:00,1,Female,60,Clothing,3,50,25.5
1278,2023-07-19,06:19:00,28,Female,37,Clothing,4,25,6.75
117,2023-08-04,11:38:00,8,Male,19,Electronics,2,500,230
1117,2023-09-11,07:48:00,144,Male,19,Electronics,2,500,210
442,2023-06-30,11:07:00,24,Female,60,Clothing,4,25,13.25
590,2023-05-04,11:52:00,151,Male,36,Clothing,3,300,135
607,2023-05-05,09:33:00,109,Male,54,Clothing,3,25,13.25
1442,2023-02-16,11:02:00,96,Female,60,Clothing,4,25,11.25
1590,2023-08-10,09:39:00,142,Male,36,Clothing,3,300,147
1607,2023-01-16,10:18:00,53,Male,54,Clothing,3,25,7.75
436,2023-10-22,11:54:00,21,Female,57,Clothing,4,30,13.5
942,2023-12-01,09:22:00,35,Male,51,Clothing,3,500,160
1436,2023-01-20,11:29:00,1,Female,57,Clothing,4,30,9.9
1942,2023-09-16,11:53:00,112,Male,51,Clothing,3,500,265
659,2023-06-09,06:08:00,75,Female,39,Electronics,1,30,8.1
941,2023-04-28,09:58:00,39,Female,57,Clothing,2,25,6.5
1659,2023-07-27,09:29:00,22,Female,39,Electronics,1,30,9
1941,2023-01-06,06:14:00,48,Female,57,Clothing,2,25,12
136,2023-12-26,08:59:00,25,Male,44,Electronics,2,300,141
175,2023-01-25,10:02:00,23,Female,31,Electronics,4,25,12.5
663,2023-08-16,06:32:00,133,Male,23,Clothing,4,300,87
